;lon;lat;landmask;gx;gy
402;68.68209075927734;68.69319915771484;1.0;239.0;196.0
403;68.43798828125;68.48867797851562;1.0;240.0;196.0
445;68.362060546875;68.987060546875;1.0;238.0;197.0
446;68.11766052246094;68.78185272216797;1.0;239.0;197.0
447;67.87805938720703;68.57640838623047;1.0;240.0;197.0
486;68.03276062011719;69.28053283691406;1.0;237.0;198.0
487;67.78816986083984;69.07463073730469;1.0;238.0;198.0
488;67.54844665527344;68.86849975585938;1.0;239.0;198.0
526;67.4491195678711;69.3669662475586;1.0;237.0;199.0
528;66.9745101928711;68.95310974121094;1.0;239.0;199.0
564;72.08748626708984;73.13961029052734;1.0;219.0;200.0
565;71.73710632324219;72.93811798095703;1.0;220.0;200.0
566;66.86054229736328;69.45133209228516;1.0;237.0;200.0
568;66.39588165283203;69.03565979003906;1.0;239.0;200.0
602;71.74243927001953;73.44355773925781;1.0;218.0;201.0
603;71.04576873779297;73.0385513305664;1.0;220.0;201.0
604;66.9852523803711;70.15823364257812;1.0;234.0;201.0
605;66.74078369140625;69.9502182006836;1.0;235.0;201.0
606;66.50142669677734;69.74199676513672;1.0;236.0;201.0
607;66.26705932617188;69.5335693359375;1.0;237.0;201.0
608;66.03751373291016;69.32494354248047;1.0;238.0;201.0
609;65.81265258789062;69.11611938476562;1.0;239.0;201.0
644;71.02958679199219;73.5440902709961;1.0;218.0;202.0
645;70.01689147949219;72.93206024169922;1.0;221.0;202.0
646;68.48412322998047;71.90352630615234;1.0;226.0;202.0
647;68.19859313964844;71.69673156738281;1.0;227.0;202.0
648;66.86430358886719;70.65824890136719;1.0;232.0;202.0
649;66.61477661132812;70.44976806640625;1.0;233.0;202.0
650;66.37062072753906;70.24105072021484;1.0;234.0;202.0
654;65.44450378417969;69.40413665771484;1.0;238.0;202.0
688;70.3079833984375;73.64209747314453;1.0;218.0;203.0
689;69.96898651123047;73.43730163574219;1.0;219.0;203.0
690;69.63839721679688;73.23204040527344;1.0;220.0;203.0
691;69.31591796875;73.02633666992188;1.0;221.0;203.0
692;69.00128173828125;72.82023620605469;1.0;222.0;203.0
693;68.69422149658203;72.61373901367188;1.0;223.0;203.0
694;68.39447021484375;72.4068832397461;1.0;224.0;203.0
695;68.101806640625;72.19966125488281;1.0;225.0;203.0
696;67.81598663330078;71.99211120605469;1.0;226.0;203.0
697;67.53678894042969;71.78424072265625;1.0;227.0;203.0
698;67.26399993896484;71.5760726928711;1.0;228.0;203.0
699;66.99739837646484;71.36762237548828;1.0;229.0;203.0
700;66.73680877685547;71.1589126586914;1.0;230.0;203.0
701;66.48204040527344;70.94994354248047;1.0;231.0;203.0
702;66.2328872680664;70.74073028564453;1.0;232.0;203.0
708;64.84687805175781;69.48119354248047;1.0;238.0;203.0
761;64.2447280883789;69.55606079101562;1.0;238.0;204.0
813;63.638118743896484;69.62870788574219;1.0;238.0;205.0
864;63.02716064453125;69.6991195678711;1.0;238.0;206.0
915;62.41191864013672;69.76727294921875;1.0;238.0;207.0
965;61.792510986328125;69.8331298828125;1.0;238.0;208.0
1014;61.169029235839844;69.89668273925781;1.0;238.0;209.0
1015;60.4740104675293;69.03565979003906;1.0;242.0;209.0
1016;60.309268951416016;68.8203125;1.0;243.0;209.0
1061;60.718570709228516;70.1737289428711;1.0;237.0;210.0
1062;60.54159927368164;69.95789337158203;1.0;238.0;210.0
1063;60.199058532714844;69.52607727050781;1.0;240.0;210.0
1064;60.033260345458984;69.31011962890625;1.0;241.0;210.0
1110;60.25511932373047;70.44976806640625;1.0;236.0;211.0
1111;60.08079147338867;70.23326873779297;1.0;237.0;211.0
54;85.38008117675781;73.89470672607422;1.0;207.0;188.0
85;84.75286102294922;74.04048919677734;1.0;207.0;189.0
86;84.23210906982422;73.86573028564453;1.0;208.0;189.0
87;83.72270202636719;73.68975067138672;1.0;209.0;189.0
118;85.18644714355469;74.533447265625;1.0;205.0;190.0
122;83.0887680053711;73.83036804199219;1.0;209.0;190.0
123;82.59308624267578;73.65161895751953;1.0;210.0;190.0
158;81.95094299316406;73.78868865966797;1.0;210.0;191.0
159;81.46923065185547;73.60724639892578;1.0;211.0;191.0
160;80.08724975585938;73.05687713623047;1.0;214.0;191.0
198;80.8194580078125;73.74073791503906;1.0;211.0;192.0
199;80.3519515991211;73.55670166015625;1.0;212.0;192.0
200;79.89495849609375;73.37169647216797;1.0;213.0;192.0
201;79.44818878173828;73.18575286865234;1.0;214.0;192.0
247;78.79920196533203;73.31257629394531;1.0;214.0;193.0
248;78.36637115478516;73.12425231933594;1.0;215.0;193.0
392;75.56403350830078;73.09971618652344;1.0;217.0;196.0
438;74.89041900634766;73.21350860595703;1.0;217.0;197.0
481;74.20760345458984;73.32501220703125;1.0;217.0;198.0
482;73.82784271240234;73.1273193359375;1.0;218.0;198.0
12;99.80609130859375;76.64447021484375;1.0;187.0;186.0
13;99.00849914550781;76.51190948486328;1.0;188.0;186.0
14;98.22672271728516;76.37684631347656;1.0;189.0;186.0
15;97.4605712890625;76.2393569946289;1.0;190.0;186.0
