;index;lon;lat;landmask;gx;gy;dataset
0;402;68.68209075927734;68.69319915771484;1.0;239.0;196.0;nsidc_v4
1;403;68.43798828125;68.48867797851562;1.0;240.0;196.0;nsidc_v4
2;445;68.362060546875;68.987060546875;1.0;238.0;197.0;nsidc_v4
3;446;68.11766052246094;68.78185272216797;1.0;239.0;197.0;nsidc_v4
4;447;67.87805938720703;68.57640838623047;1.0;240.0;197.0;nsidc_v4
5;486;68.03276062011719;69.28053283691406;1.0;237.0;198.0;nsidc_v4
6;487;67.78816986083984;69.07463073730469;1.0;238.0;198.0;nsidc_v4
7;488;67.54844665527344;68.86849975585938;1.0;239.0;198.0;nsidc_v4
8;526;67.4491195678711;69.3669662475586;1.0;237.0;199.0;nsidc_v4
9;528;66.9745101928711;68.95310974121094;1.0;239.0;199.0;nsidc_v4
10;564;72.08748626708984;73.13961029052734;1.0;219.0;200.0;nsidc_v4
11;565;71.73710632324219;72.93811798095703;1.0;220.0;200.0;nsidc_v4
12;566;66.86054229736328;69.45133209228516;1.0;237.0;200.0;nsidc_v4
13;568;66.39588165283203;69.03565979003906;1.0;239.0;200.0;nsidc_v4
14;602;71.74243927001953;73.44355773925781;1.0;218.0;201.0;nsidc_v4
15;603;71.04576873779297;73.0385513305664;1.0;220.0;201.0;nsidc_v4
16;604;66.9852523803711;70.15823364257812;1.0;234.0;201.0;nsidc_v4
17;605;66.74078369140625;69.9502182006836;1.0;235.0;201.0;nsidc_v4
18;606;66.50142669677734;69.74199676513672;1.0;236.0;201.0;nsidc_v4
19;607;66.26705932617188;69.5335693359375;1.0;237.0;201.0;nsidc_v4
20;608;66.03751373291016;69.32494354248047;1.0;238.0;201.0;nsidc_v4
21;609;65.81265258789062;69.11611938476562;1.0;239.0;201.0;nsidc_v4
22;644;71.02958679199219;73.5440902709961;1.0;218.0;202.0;nsidc_v4
23;645;70.01689147949219;72.93206024169922;1.0;221.0;202.0;nsidc_v4
24;646;68.48412322998047;71.90352630615234;1.0;226.0;202.0;nsidc_v4
25;647;68.19859313964844;71.69673156738281;1.0;227.0;202.0;nsidc_v4
26;648;66.86430358886719;70.65824890136719;1.0;232.0;202.0;nsidc_v4
27;649;66.61477661132812;70.44976806640625;1.0;233.0;202.0;nsidc_v4
28;650;66.37062072753906;70.24105072021484;1.0;234.0;202.0;nsidc_v4
29;654;65.44450378417969;69.40413665771484;1.0;238.0;202.0;nsidc_v4
30;688;70.3079833984375;73.64209747314453;1.0;218.0;203.0;nsidc_v4
31;689;69.96898651123047;73.43730163574219;1.0;219.0;203.0;nsidc_v4
32;690;69.63839721679688;73.23204040527344;1.0;220.0;203.0;nsidc_v4
33;691;69.31591796875;73.02633666992188;1.0;221.0;203.0;nsidc_v4
34;692;69.00128173828125;72.82023620605469;1.0;222.0;203.0;nsidc_v4
35;693;68.69422149658203;72.61373901367188;1.0;223.0;203.0;nsidc_v4
36;694;68.39447021484375;72.4068832397461;1.0;224.0;203.0;nsidc_v4
37;695;68.101806640625;72.19966125488281;1.0;225.0;203.0;nsidc_v4
38;696;67.81598663330078;71.99211120605469;1.0;226.0;203.0;nsidc_v4
39;697;67.53678894042969;71.78424072265625;1.0;227.0;203.0;nsidc_v4
40;698;67.26399993896484;71.5760726928711;1.0;228.0;203.0;nsidc_v4
41;699;66.99739837646484;71.36762237548828;1.0;229.0;203.0;nsidc_v4
42;700;66.73680877685547;71.1589126586914;1.0;230.0;203.0;nsidc_v4
43;701;66.48204040527344;70.94994354248047;1.0;231.0;203.0;nsidc_v4
44;702;66.2328872680664;70.74073028564453;1.0;232.0;203.0;nsidc_v4
45;708;64.84687805175781;69.48119354248047;1.0;238.0;203.0;nsidc_v4
46;761;64.2447280883789;69.55606079101562;1.0;238.0;204.0;nsidc_v4
47;813;63.63811874389648;69.62870788574219;1.0;238.0;205.0;nsidc_v4
48;864;63.02716064453125;69.6991195678711;1.0;238.0;206.0;nsidc_v4
49;915;62.41191864013672;69.76727294921875;1.0;238.0;207.0;nsidc_v4
50;965;61.792510986328125;69.8331298828125;1.0;238.0;208.0;nsidc_v4
51;1014;61.16902923583984;69.89668273925781;1.0;238.0;209.0;nsidc_v4
52;1015;60.4740104675293;69.03565979003906;1.0;242.0;209.0;nsidc_v4
53;1016;60.309268951416016;68.8203125;1.0;243.0;209.0;nsidc_v4
54;1061;60.71857070922852;70.1737289428711;1.0;237.0;210.0;nsidc_v4
55;1062;60.54159927368164;69.95789337158203;1.0;238.0;210.0;nsidc_v4
56;1063;60.19905853271485;69.52607727050781;1.0;240.0;210.0;nsidc_v4
57;1064;60.03326034545898;69.31011962890625;1.0;241.0;210.0;nsidc_v4
